"DisplayName","DisplayVersion","Publisher","InstallDate"
"Windows Desktop Extension SDK","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows Desktop Extension SDK Contracts","10.1.19041.685","Microsoft Corporation","20240912"
"Windows Desktop Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows IoT Extension SDK","10.1.19041.685","Microsoft Corporation","20240912"
"Windows IoT Extension SDK","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows IoT Extension SDK Contracts","10.1.19041.685","Microsoft Corporation","20240912"
"Windows IoT Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows Mobile Extension SDK","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows Mobile Extension SDK","10.1.19041.685","Microsoft Corporation","20240912"
"Windows Mobile Extension SDK Contracts","10.1.19041.685","Microsoft Corporation","20240912"
"Windows Mobile Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK AddOn","10.1.0.0","Microsoft Corporation","20240912"
"Windows SDK ARM Desktop Tools","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK ARM64 Desktop Tools","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Desktop Headers arm","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Headers arm64","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Headers arm64","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Desktop Headers x64","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Desktop Headers x64","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Headers x86","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Desktop Headers x86","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Libs arm","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Libs arm64","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Desktop Libs arm64","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Libs x64","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Desktop Libs x64","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Libs x86","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Desktop Libs x86","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Tools arm64","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Tools arm64","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Desktop Tools x64","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Desktop Tools x64","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Tools x86","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Desktop Tools x86","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK DirectX x64 Remote","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK DirectX x86 Remote","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK EULA","10.1.19041.685","Microsoft Corporations","20240912"
"Windows SDK EULA","10.1.26100.7705","Microsoft Corporations","20260306"
"Windows SDK Facade Windows WinMD Versioned","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Facade Windows WinMD Versioned","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK for Windows Store Apps","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK for Windows Store Apps Contracts","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK for Windows Store Apps Contracts","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK for Windows Store Apps Headers","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK for Windows Store Apps Headers","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK for Windows Store Apps Headers OnecoreUap","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK for Windows Store Apps Libs","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK for Windows Store Apps Libs","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK for Windows Store Apps Metadata","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK for Windows Store Apps Metadata","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK for Windows Store Apps Tools","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK for Windows Store Apps Tools","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK for Windows Store Managed Apps Libs","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK for Windows Store Managed Apps Libs","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Modern Versioned Developer Tools","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Modern Versioned Developer Tools","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK OnecoreUap Headers arm64","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK OnecoreUap Headers x64","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK OnecoreUap Headers x86","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Redistributables","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows SDK Signing Tools","10.1.19041.685","Microsoft Corporation","20240912"
"Windows SDK Signing Tools","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows Software Development Kit - Windows 10.0.19041.685","10.1.19041.685","Microsoft Corporation",
"Windows Software Development Kit - Windows 10.0.26100.7705","10.1.26100.7705","Microsoft Corporation",
"Windows Team Extension SDK","10.1.26100.7705","Microsoft Corporation","20260306"
"Windows Team Extension SDK","10.1.19041.685","Microsoft Corporation","20240912"
"Windows Team Extension SDK Contracts","10.1.19041.685","Microsoft Corporation","20240912"
"Windows Team Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation","20260306"
"WinRT Intellisense Desktop - en-us","10.1.19041.685","Microsoft Corporation","20240912"
"WinRT Intellisense Desktop - en-us","10.1.26100.7705","Microsoft Corporation","20260306"
"WinRT Intellisense Desktop - Other Languages","10.1.19041.685","Microsoft Corporation","20240912"
"WinRT Intellisense Desktop - Other Languages","10.1.26100.7705","Microsoft Corporation","20260306"
"WinRT Intellisense IoT - en-us","10.1.19041.685","Microsoft Corporation","20240912"
"WinRT Intellisense IoT - en-us","10.1.26100.7705","Microsoft Corporation","20260306"
"WinRT Intellisense IoT - Other Languages","10.1.19041.685","Microsoft Corporation","20240912"
"WinRT Intellisense IoT - Other Languages","10.1.26100.7705","Microsoft Corporation","20260306"
"WinRT Intellisense Mobile - en-us","10.1.19041.685","Microsoft Corporation","20240912"
"WinRT Intellisense Mobile - en-us","10.1.26100.7705","Microsoft Corporation","20260306"
"WinRT Intellisense PPI - en-us","10.1.26100.7705","Microsoft Corporation","20260306"
"WinRT Intellisense PPI - en-us","10.1.19041.685","Microsoft Corporation","20240912"
"WinRT Intellisense PPI - Other Languages","10.1.19041.685","Microsoft Corporation","20240912"
"WinRT Intellisense PPI - Other Languages","10.1.26100.7705","Microsoft Corporation","20260306"
"WinRT Intellisense UAP - en-us","10.1.19041.685","Microsoft Corporation","20240912"
"WinRT Intellisense UAP - en-us","10.1.26100.7705","Microsoft Corporation","20260306"
"WinRT Intellisense UAP - Other Languages","10.1.26100.7705","Microsoft Corporation","20260306"
"WinRT Intellisense UAP - Other Languages","10.1.19041.685","Microsoft Corporation","20240912"
"WPT Redistributables","10.1.26100.7705","Microsoft","20260306"
"WPTx64 (DesktopEditions)","10.1.26100.7705","Microsoft","20260306"
"WPTx64 (OnecoreUAP)","10.1.26100.7705","Microsoft","20260306"
